"Artist_01","Artist_01_Tags","Artist_02","Artist_02_Tags","Song_Title","Collaboration_Status","Release_Year","Region","MB_Rating_Value","MB_Rating_Votes","Peak_Chart_Position"
"Nicki Minaj","east coast hip hop, electronic, hip hop, pop, pop rap, r&b","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax","Failure","2016","US","","",""
"Future","hip hop, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Karate Chop (remix)","Failure","2014","US","","",""
"Future","hip hop, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","After That","Failure","2014","US","","",""
"Future","hip hop, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Drive Itself","Failure","2018","US","","",""
"Future","hip hop, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Commas (remix)","Failure","2015","US","","",""
"Future","hip hop, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Oxy","Failure","2018","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Big Diamonds","Failure","2023","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Metro Boomin","hip hop, trap","Annihilate","Success","2023","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Dope Niggaz","Success","2018","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Hollywood","Failure","2006","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Hollywood Divorce","Failure","2006","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Dark Eyes","Failure","2024","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Mind Right","Failure","2008","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Drop the World","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","No Love","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Still Remember (Blend)","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Big Man Someday (Blend)","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Not Afraid vs Lollipop","Failure","2010","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","We Run This","Failure","2010","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Run This Town (Green Lantern mix)","Failure","","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","All of the Light","Failure","2012","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Youtube Music Is","Failure","","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Love in This Club, Part II","Failure","2008","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Love in This Club, Part 2","Success","2008","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Love in This Club Part II","Failure","2014","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Love in This Club (remix)","Failure","2008","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Sweet Dreams","Failure","2009","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Beautiful Nightmare","Failure","2010","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Sweet Dream","Failure","2010","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Viva La Milli (Terry Urban remix)","Failure","2009","UK","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Money to Fix","Failure","2010","UK","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Forever La Vida","Failure","2010","UK","","",""
"Imagine Dragons","alternative pop, alternative rock, electropop, indie pop, indietronica, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Believer","Failure","2019","US","","",""
"Imagine Dragons","alternative pop, alternative rock, electropop, indie pop, indietronica, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Sucker for Pain","Success","2016","US","","",""
"Fall Out Boy","alternative rock, electropop, emo, emo pop, indie rock, pop","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Arms Race","Failure","2007","US","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Lollipop (remix)","Failure","2011","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Revolver","Success","2009","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","I Can Only Imagine","Success","2011","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Light My Body Up (Cedric Gervais remix)","Failure","2017","Europe","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Shakira","latin, latin pop, pop, pop rock","Give It Up to Me","Success","2009","US","","",""
"Lil Wayne","gangsta rap, hip hop, pop, pop rap, r&b, rap rock","Ozuna","latin, reggaeton, trap latino","Scared of the Dark (remix)","Failure","2019","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","What's Up With That","Failure","2018","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","What’s Up With That","Failure","2018","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","Number 2","Failure","2021","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","X","Failure","2016","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","Iced Out My Arms","Failure","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Future","hip hop, southern hip hop, trap","Partying & Drinking","Failure","2025","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Came to the Party","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Amazing (interlude)","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Ain’t No Love","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Out of My Hands","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Overload","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Streets Made Me a King","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Drink n Dance","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Runnin Outta Time","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","GTA","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Claustrophobic","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Metro Boomin","hip hop, trap","Nights Like This","Success","2024","US","","",""
"Future","hip hop, southern hip hop, trap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Homicide","Success","2012","US","","",""
"Future","hip hop, southern hip hop, trap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Love Song","Failure","","US","","",""
"Future","hip hop, southern hip hop, trap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Selfish","Failure","2017","US","","",""
"Future","hip hop, southern hip hop, trap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Loveeeeeee Song","Success","2012","US","","",""
"Future","hip hop, southern hip hop, trap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Loveee Song (Brenmar club edit)","Failure","2017","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Future","hip hop, southern hip hop, trap","Top Off","Failure","2019","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Future","hip hop, southern hip hop, trap","Drunk In Love","Failure","2012","US","","",""
"Future","hip hop, southern hip hop, trap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","TELEKINESIS","Success","2023","US","","",""
"Future","hip hop, southern hip hop, trap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","BEAUTIFUL","Failure","2022","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Future","hip hop, southern hip hop, trap","Rollin","Success","2017","US","","",""
"Future","hip hop, southern hip hop, trap","Zedd","bass house, club, complextro, dance, dance-pop, deep house","Turn On the Lights Again... / Bababa / Addicted to a Memory","Failure","2024","US","","",""
"Bad Bunny","hip hop, latin, reggaeton, trap latino","Future","hip hop, southern hip hop, trap","Thinkin","Failure","2018","Latin America","","",""
"Future","hip hop, southern hip hop, trap","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Bum Bum Tam Tam","Success","2017","US","","",""
"Future","hip hop, southern hip hop, trap","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Testosterone","Failure","2015","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","No Advance","Failure","2016","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","Slidin","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","My Dawg (ChopNotSlop remix)","Failure","2020","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","RIP Luv","Failure","2020","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","Steppin on Niggas","Failure","2020","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","Intro","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","Said n Done","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","10 Freaky Girls","Failure","2018","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","My Choppa Hate N****s","Failure","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Metro Boomin","hip hop, trap","My Choppa Hate Niggas","Failure","","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Vibrate","Failure","2020","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","New Money","Failure","2022","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Bad Bunny","hip hop, latin, reggaeton, trap latino","Krippy Kush","Failure","2017","US","","",""
"21 Savage","gangsta rap, hip hop, pop rap, southern hip hop, trap","Bad Bunny","hip hop, latin, reggaeton, trap latino","Krispy Kush (remix)","Failure","2017","US","","",""
"J Balvin","hip hop, latin, latin pop, pop, reggaeton","Metro Boomin","hip hop, trap","Only You","Success","2018","Latin America","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Gangsta & Thugs (DJ Dirty Harry mix)","Failure","2005","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","From the D 2 the LBC","Success","2022","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Nuthin' but a ""G"" Thang (remix)","Failure","","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Still Dre (remix)","Failure","2004","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","I Adore You","Failure","","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Live at MTV","Failure","","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Bitch Please II","Success","2000","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Live My Best Life","Failure","2022","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Holiday","Success","2017","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Pop Party: 2010–2013: Don’t Stop the Party / Where Them Girls At / Give Me Everything / Won’t Go Quietly / Rock That Body / Sweat / Bounce / Changed the Way You Kiss Me / OMG / Moves Like Jagger / Party Rock Anthem / Yeah 3x","Failure","2014","US","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Sweat (Snoop Dogg vs. David Guetta remix)","Failure","2011","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Wet (remix)","Failure","2011","Europe","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Gangsta Zone","Success","2005","Latin America","","",""
"Daddy Yankee","hip hop, latin, latin pop, reggae, reggaeton","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Danger Zone","Failure","2006","Latin America","","",""
"Ozuna","latin, reggaeton, trap latino","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Patek","Failure","2019","Latin America","","",""
"Ozuna","latin, reggaeton, trap latino","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","Do It When I’m in It","Failure","2019","Latin America","","",""
"Karol G","schlager","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","My Family (from “The Addams Family” original motion picture soundtrack)","Failure","2019","Europe","","",""
"Karol G","schlager","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","My Family - from ""The Addams Family""","Failure","2019","Europe","","",""
"BTS","k-pop, pop","Snoop Dogg","g-funk, gangsta rap, hip hop, west coast hip hop","bad decisions","Success","2022","Asia","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Love the Way You Lie (Part II)","Success","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Numb","Success","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","The Monster","Success","2013","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Walk on Water","Success","2017","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Shit on You & Crazy in Love & Point of Authority","Failure","2010","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Pure Urban Love","Failure","2011","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Forever La Vida","Failure","2010","UK","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","I'll Be Gone / Drop the World","Failure","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","The Catalyst / Cocaine (alternate version)","Failure","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Intro / Breaking the Habit / Not Afraid","Failure","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Victimized / The Re-Up","Failure","2012","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Androids","Failure","2014","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Dead Space","Failure","2014","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Intervention","Failure","2014","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Forgot About Dre & Place for My Head","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Announcement Service Public (skit)","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","My Name Is & Hit the Floor","Failure","2010","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Hurt Locker","Failure","2014","US","","",""
"Eminem","boom bap, conscious hip hop, hardcore hip hop, hip hop, horrorcore, pop rap","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Any Man & In the End (Fucking Crazy) (Paul)","Failure","2010","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Ring The Alarm (Remix)","Failure","2009","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Stand Up for Cancer","Failure","","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Youtube Music Is","Failure","","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Pure Urban Love","Failure","2011","US","","",""
"Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","Consideration","Success","2016","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Princess of China (radio edit)","Success","2012","UK","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","We Found Love (Cahill edit)","Failure","2011","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","This Is What You Came For","Success","2016","US","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Who’s That Chick?","Success","2010","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Who's That Chick","Failure","2012","Europe","","",""
"David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Right Now (Ralphi Rosario mix)","Failure","2013","Europe","","",""
"Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Zedd","bass house, club, complextro, dance, dance-pop, deep house","Where’s Spectrum","Failure","","US","","",""
"Avicii","dance-pop, edm, electro house, electronic, electropop, festival progressive house","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Hangover (Electro remix)","Failure","","Europe","","",""
"Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Shakira","latin, latin pop, pop, pop rock","Can't Remember to Forget Me","Failure","","US","","",""
"Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Shakira","latin, latin pop, pop, pop rock","Can’t Remember to Forget You","Success","2014","US","","",""
"Ellie Goulding","club, contemporary r&b, dance, dance-pop, dream pop, edm","Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax","Failure","2016","UK","","",""
"Rihanna","contemporary r&b, dance, dance-pop, dancehall, electro house, electropop","Rita Ora","contemporary r&b, dance-pop, electropop, pop, pop rock","Pop Princesses: Wings (The Alias extended mix) / This Is What You Came For / Outside / Bang Bang (Kat Krazy extended mix) / Cool for the Summer (Dave Aude remix) / Focus (Max Sanna & Steve Pitron clean club mix) / I Will Never Let You Down (Steve Smart & WestFunk club mix) / Sax","Failure","2016","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Superpower","Success","2013","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Hymn for the Weekend","Failure","2016","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","Hymn for the Week End (SeeB remix)","Failure","2016","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Linkin Park","alternative metal, alternative rock, metal, nu metal, rap metal, rap rock","Shit on You & Crazy in Love & Point of Authority","Failure","2010","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","David Guetta","dance, dance-pop, electro house, electronic, electropop, festival progressive house","Essential R’n’b: I’m Into You / The Lazy Song / I Need a Dollar / Just Cant Get Enough / Run the World (Girls) / Hush Hush / Where Them Girls At / Give Me Everything","Failure","2011","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Martin Garrix","big room house, dance-pop, edm, electro house, festival progressive house, tropical house","Drunk Animals","Failure","","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","J Balvin","hip hop, latin, latin pop, pop, reggaeton","Mi gente","Success","2019","US","","",""
"Beyoncé","alternative r&b, americana, contemporary r&b, country, dance, dance-pop","Shakira","latin, latin pop, pop, pop rock","Beautiful Liar (remix)","Success","2007","US","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","SZA","alternative r&b, contemporary r&b, electronic, hip hop soul, neo soul, pop","The Weekend (Funk Wav remix)","Success","2017","US","","",""
"Coldplay","alternative rock, art pop, britpop, dream pop, piano rock, pop","H.E.R.","alternative r&b, r&b, trap","Let Somebody Go (Live at River Plate)","Failure","2024","UK","","",""
"Calvin Harris","club, dance, dance-pop, edm, electro house, electronic","Frank Ocean","alternative r&b, contemporary r&b, pop, r&b","Slide","Success","2017","US","","",""
